network,seed,rate_noise,epoch,gain_latent_db,gain_signal_db,participation_ratio,modes0,modes1
highcap,0,0.1,0,0.5658493192559799,-0.025304497444727403,1.998777253378998,4,4
highcap,0,0.1,100,4.020085103505398,2.981223243336112,1.8638669516521267,3,2
highcap,0,0.1,200,3.9931881399042055,3.737866334551507,1.839393018296343,3,3
highcap,0,0.1,300,3.8466370870484887,3.667764690393991,1.825067738786392,3,3
highcap,0,0.1,400,3.69192344137919,3.576579726547207,1.824400548216933,3,3
highcap,0,0.1,500,3.565661708697924,3.4888500356316214,1.8313866591682488,3,2
highcap,0,0.1,600,3.4607115875311454,3.404581942974364,1.8436284393622107,3,2
highcap,0,0.1,700,3.361118453567425,3.3251177139268506,1.8586222912695876,3,2
highcap,0,0.1,800,3.2705364870490925,3.22982814340369,1.8733843048144765,3,2
highcap,0,0.1,900,3.1806763816958217,3.149074859828348,1.8864020065895746,3,2
highcap,0,0.1,1000,3.088008371442326,3.115815980938116,1.8955415184927569,3,2
highcap,0,0.1,1100,3.002529749573064,3.053750621633551,1.9027394263241535,3,2
highcap,0,0.1,1200,2.918775817806024,3.003647375678826,1.9079272844412478,3,2
highcap,0,0.1,1300,2.8438414524651776,2.9394250545785052,1.9093630376858086,3,2
highcap,0,0.1,1400,2.7684524593367286,2.88886070128979,1.9114841454263305,3,2
highcap,0,0.1,1500,2.6998792317916074,2.8299254168501538,1.91275767824219,3,2
highcap,0,0.1,1600,2.628677806421935,2.789931434945192,1.9121264845556851,3,2
highcap,0,0.1,1700,2.59868848388437,2.834321889135234,1.912738165418577,3,2
highcap,0,0.1,1800,2.4726943877797627,2.7254519032282776,1.9135807220720633,3,2
highcap,0,0.1,1900,2.426178151155538,2.6846983488066005,1.915453199830906,3,2
highcap,0,0.1,2000,2.37724260096072,2.6553023562031193,1.9201399356543005,3,2
highcap,0,0.2,0,0.5658493192559799,-0.025304497444727403,1.998777253378998,4,4
highcap,0,0.2,100,3.8034948717813286,2.961242221101683,1.9160822004452875,2,2
highcap,0,0.2,200,3.7762844646576195,3.0808274039946557,1.904302544884321,2,2
highcap,0,0.2,300,3.7154403962793534,2.9260469990343942,1.9057100727062053,2,2
highcap,0,0.2,400,3.619310305722422,2.760019395570806,1.9134651317320812,3,2
highcap,0,0.2,500,3.4912305568221544,2.6314788015095623,1.924548816150489,3,2
highcap,0,0.2,600,3.359161061076085,2.547843700151759,1.934372707432529,4,2
highcap,0,0.2,700,3.231985577905835,2.4897023458387917,1.9413814096836242,3,2
highcap,0,0.2,800,3.1039838063294916,2.453185011884548,1.945265926930626,4,2
highcap,0,0.2,900,2.981389000896547,2.432532471622295,1.9484946873794469,7,2
highcap,0,0.2,1000,2.8713036874676128,2.4190610780153268,1.9465970812084135,3,2
highcap,0,0.2,1100,2.7579823230995473,2.4245280682209156,1.9397683072363272,3,2
highcap,0,0.2,1200,2.601118898862401,2.3390319320810438,1.9308334994945093,3,2
highcap,0,0.2,1300,2.534275941499727,2.3352022589733217,1.9222736757853982,3,2
highcap,0,0.2,1400,2.4038276186412286,2.406081379728718,1.89978811640475,3,2
highcap,0,0.2,1500,2.2461357949707654,2.396486546485935,1.8981619029492356,3,2
highcap,0,0.2,1600,2.07458308722253,2.3295555120416545,1.8939287221758057,3,2
highcap,0,0.2,1700,2.0540442123543716,2.3823216181430436,1.8996185597074164,3,2
highcap,0,0.2,1800,1.9938950859452138,2.287729837583477,1.9085314651700758,3,2
highcap,0,0.2,1900,1.9272887672302765,2.3609173922784805,1.9081527423612836,3,2
highcap,0,0.2,2000,1.8885356140479441,2.3355754922370195,1.9215490083775455,3,2
highcap,0,0.5,0,0.5658493192559799,-0.025304497444727403,1.998777253378998,4,4
highcap,0,0.5,100,3.2856748279015573,1.7915207301820484,1.8361497586901383,4,3
highcap,0,0.5,200,3.2724648074586966,1.7715264322887947,1.851172834608209,4,3
highcap,0,0.5,300,3.2696737134080625,1.6380805795741438,1.8586588278872769,4,3
highcap,0,0.5,400,3.219484220625022,1.6144391646658374,1.868877659578702,4,3
highcap,0,0.5,500,3.099114228622092,1.6259813029220567,1.8754596477390293,5,3
highcap,0,0.5,600,3.0134026962616467,1.5296986154399814,1.8844153496690552,4,3
highcap,0,0.5,700,2.9024586900105227,1.5020530166558697,1.8933210284257376,4,3
highcap,0,0.5,800,2.811764778764319,1.5025780079655888,1.8995577340612797,4,3
highcap,0,0.5,900,2.7292256887290467,1.3907786345948594,1.9054433169349667,4,3
highcap,0,0.5,1000,2.6910938410405514,1.4334464177858308,1.903783150661025,4,3
highcap,0,0.5,1100,2.628005545147621,1.3542133505296068,1.9056771212664878,4,3
highcap,0,0.5,1200,2.598730223946852,1.3282071186430588,1.914002721993179,4,3
highcap,0,0.5,1300,2.5338262765035253,1.2761530479357255,1.912128935200001,4,3
highcap,0,0.5,1400,2.489929818544896,1.2163463071272158,1.9215467393957786,4,3
highcap,0,0.5,1500,2.4916867523077286,1.2050886577919933,1.92198547081962,4,3
highcap,0,0.5,1600,2.449954628572648,1.2077370944884898,1.920579878110967,4,3
highcap,0,0.5,1700,2.413144451433004,1.173246301293739,1.926636845999164,4,3
highcap,0,0.5,1800,2.3878641821248063,1.1221666362274796,1.923173869607544,4,3
highcap,0,0.5,1900,2.377848861573197,1.1887306285190906,1.9317274421324984,4,3
highcap,0,0.5,2000,2.3590685902791435,1.0915455252969064,1.9247517260548381,4,3
highcap,0,1.0,0,0.5658493192559799,-0.025304497444727403,1.998777253378998,4,4
highcap,0,1.0,100,4.214113358168408,1.5856051935307907,1.879512132116803,4,2
highcap,0,1.0,200,4.398865717551077,1.656586247452962,1.8946455558615787,3,2
highcap,0,1.0,300,4.406795176785533,1.693539689907098,1.8972059743738998,3,2
highcap,0,1.0,400,4.424464847310201,1.7865240893119605,1.8894794051763437,3,2
highcap,0,1.0,500,4.396488529780044,1.8180376633093136,1.8856853225126458,3,2
highcap,0,1.0,600,4.414153553538554,1.9295147626627092,1.8813513670895377,3,2
highcap,0,1.0,700,4.415475796362074,1.982765658777092,1.8681894133567059,3,2
highcap,0,1.0,800,4.4324084840105495,2.075267529109217,1.853871919632844,3,2
highcap,0,1.0,900,4.452003208159544,2.1330169789217575,1.838943773579814,4,2
highcap,0,1.0,1000,4.462265479843751,2.2128229583497827,1.8263091999201666,4,2
highcap,0,1.0,1100,4.490703880633333,2.3302945097875103,1.812963440145391,3,2
highcap,0,1.0,1200,4.504211655713309,2.3405467256801984,1.8056333262684805,3,2
highcap,0,1.0,1300,4.548674238139963,2.5347832770502716,1.7807451372965104,3,2
highcap,0,1.0,1400,4.604311975529953,2.713012605055379,1.7701927405176683,4,2
highcap,0,1.0,1500,4.644895083722311,2.7575803126148095,1.7619615685022723,3,2
highcap,0,1.0,1600,4.707098737607588,2.722923164492986,1.7465017696563727,3,2
highcap,0,1.0,1700,4.723633469299955,2.7792875316544183,1.759749205586611,3,2
highcap,0,1.0,1800,4.753766760143478,2.816979197076302,1.7341342996966254,3,2
highcap,0,1.0,1900,4.739547098829167,2.769338470461472,1.7333403916977888,3,2
highcap,0,1.0,2000,4.781838647186667,2.7234670025383707,1.7182844268336739,3,2
highcap,1,0.1,0,0.43813249408298915,0.10841035276997424,1.998680850897289,4,4
highcap,1,0.1,100,4.162346062747357,3.8202560528808984,1.8732023901502854,3,2
