rho,sqnr_sq_plain,sqnr_vq_plain,sqnr_sq_pca_equal,sqnr_sq_pca_alloc,sqnr_vq_pca,gain_plain_db,gain_pca_db,bits_hi,bits_lo,eval_hi,eval_lo
0.000000,9.256262,9.650426,9.296055,9.296055,9.679623,0.394164,0.383568,2.000000,2.000000,1.012771,0.994756
0.100000,9.297718,9.670576,9.253682,9.253682,9.682146,0.372858,0.428464,2.000000,2.000000,1.107114,0.900888
0.200000,9.288255,9.750005,9.256784,9.256784,9.746304,0.461751,0.489520,2.000000,2.000000,1.207543,0.800933
0.300000,9.286425,9.915191,9.258870,9.258870,9.896633,0.628766,0.637763,2.000000,2.000000,1.308092,0.700860
0.400000,9.288586,10.100422,9.260628,9.260628,10.099798,0.811836,0.839170,2.000000,2.000000,1.408671,0.600755
0.500000,9.289215,10.328393,9.262274,9.262274,10.339862,1.039178,1.077587,2.000000,2.000000,1.509263,0.500639
0.600000,9.281181,10.702170,9.263801,10.005522,10.687710,1.420989,0.682188,3.000000,1.000000,1.609860,0.400516
0.700000,9.271961,11.258488,9.265268,10.779486,11.290462,1.986527,0.510976,3.000000,1.000000,1.710461,0.300390
0.800000,9.273614,12.078733,9.266690,11.719961,12.028195,2.805119,0.308234,3.000000,1.000000,1.811065,0.200261
0.850000,9.269714,12.647963,9.267386,12.281730,12.580073,3.378249,0.298343,3.000000,1.000000,1.861367,0.150196
0.900000,9.264534,13.597203,9.268076,12.925083,13.551498,4.332669,0.626415,3.000000,1.000000,1.911669,0.100131
0.950000,9.260305,15.038312,9.268764,13.680433,14.996362,5.778007,1.315929,3.000000,1.000000,1.961972,0.050066
